Year,Week,Current_Week_Min_Price,Current_Week_Max_Price,Current_Week_Mean_Price,Current_Week_Std_Price,Price_Range_Week,Forecast_Temp_Mean_Next_Week,Forecast_Temp_Min_Next_Week,Forecast_Temp_Max_Next_Week,Forecast_Rain_Sum_Next_Week,Forecast_Humidity_Mean_Next_Week,Forecast_Wind_Mean_Next_Week,Forecast_Sunshine_Sum_Next_Week,Target_Next_Week_Mean_Price,Target_Next_Week_Min_Price,Target_Next_Week_Max_Price,Rolling_3W_Mean,Rolling_3W_Std,Pct_Change_Last_Week,Price_Trend_Slope_3W,Past_3W_Temp_Mean,Past_3W_Temp_Std,Past_3W_Rain_Sum,Past_3W_Humidity_Mean,Past_3W_Wind_Mean,Past_3W_Sunshine_Sum,Temp_Anomaly,Rain_Anomaly,Volatility_Rain_Interaction,Next_Week_Month,Is_Monsoon_Next_Week,Is_Harvest_Season_Next_Week,Is_Festive_Week_Next_Week,Price_Direction,Pct_Change_Week,Lag_1W_Price,Lag_2W_Price,Price_Velocity,Price_Acceleration,Momentum_Strength,Heat_Stress_Days_Next_Week,Cold_Stress_Days_Next_Week,Heavy_Rain_Indicator_Next_Week,Drought_Indicator_Next_Week,Temp_Volatility_Next_Week,Humidity_Volatility_Next_Week,Price_Position_Ratio,Resistance_Level,Support_Level,Near_Resistance,Near_Support,Market_Activity,Activity_Change,Data_Quality_Flag,Variety_Green Chilly,Variety_Other,Market_Alipurduar,Market_Balurghat,Market_Barasat,Market_Baruipur(Canning),Market_Baxirhat,Market_Belacoba,Market_Bethuadahari,Market_Birbhum,Market_Bolpur,Market_Burdwan,Market_Chakdah,Market_Champadanga,Market_Coochbehar,Market_Dhupguri,Market_Diamond Harbour(South 24-pgs),Market_Dinhata,Market_Egra/contai,Market_Falakata,Market_Gangarampur(Dakshin_Dinajpur),Market_Garbeta(Medinipur),Market_Ghatal,Market_Habra,Market_Haldibari,Market_Indus(Bankura Sadar),Market_Jalpaiguri Sadar,Market_Kalipur,Market_Kalna,Market_Kalyani,Market_Karimpur,Market_Lalbagh,Market_Mathabhanga,Market_Medinipur(West),Market_Mekhliganj,Market_Memari,Market_Moynaguri,Market_Nadia,Market_Pundibari,Market_Ramkrishanpur(Howrah),Market_Ranaghat,Market_Sainthia,Market_Sealdah Koley Market,Market_Sheoraphuly,Market_Siliguri,Market_Toofanganj,Market_Uluberia,District_Alipurduar,District_Bankura,District_Birbhum,District_Coochbehar,District_Dakshin_Dinajpur,District_Darjeeling,District_Hooghly,District_Howrah,District_Jalpaiguri,District_Kolkata,District_Medinipur(E),District_Medinipur(W),District_Murshidabad,District_Nadia,District_North 24 Parganas,District_Purba Bardhaman,District_South 24 Parganas
2023,1,2500,3300,2785.714286,254.483604,800,16.128571,8.8,26.3,0.0,76.285714,3.714286,243960.38,3742.857143,3000.0,4400.0,5323.308004,0.0,0.0,0.0,25.285741,0.0,23.016312,79.268856,4.580465,583750.791348,-9.15717,-23.016312,0.0,1,0,0,0,1,3.333333,5339.468085,5339.75,0.0,0.0,0.0,0,1,0,0,17.5,0.0,-3.0,2785.714286,2785.714286,1,1,7,0.0,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,3000,4400,3742.857143,547.287684,1400,15.216667,7.4,23.0,0.0,82.5,2.816667,185023.76,4183.333333,4000.0,4400.0,2785.714286,0.0,34.358974,0.0,16.128571,0.0,0.0,76.285714,3.714286,243960.38,-0.911905,0.0,0.0,1,0,0,0,1,5.629771,2785.714286,5339.75,0.0,0.0,0.0,0,1,0,0,15.6,4.394164,3.0,3742.857143,2785.714286,1,0,7,0.0,0.928571,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,3,4000,4400,4183.333333,75.277265,400,18.266667,12.0,26.3,0.0,71.666667,3.166667,105343.61,3700.0,3500.0,4000.0,3264.285714,676.802205,11.768448,0.0,15.672619,0.644814,0.0,79.392857,3.265476,428984.14,2.594048,0.0,0.0,1,0,0,0,0,-0.614684,3742.857143,2785.714286,0.0,0.0,0.0,0,0,0,0,14.3,5.436207,1.357926,4183.333333,2785.714286,1,0,6,-0.142857,0.642857,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,3500,4000,3700.0,173.205081,500,19.32,13.7,26.1,0.0,82.2,4.24,176113.7,3700.0,3500.0,4000.0,3570.634921,714.548893,-11.553785,698.809524,16.537302,1.565542,0.0,76.81746,3.23254,534327.75,2.782698,0.0,0.0,1,0,0,0,1,4.054054,4183.333333,3742.857143,698.809524,698.809524,698.809524,0,0,0,0,12.4,6.169849,0.181044,4183.333333,2785.714286,0,0,3,-0.5,0.571429,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,5,3500,4000,3700.0,141.421356,500,19.371429,13.4,26.0,0.0,77.0,4.742857,239337.11,3785.714286,3500.0,4000.0,3875.396825,267.540377,0.0,-21.428571,17.601111,2.131093,0.0,78.788889,3.407778,466481.07,1.770317,0.0,0.0,2,0,1,0,0,-0.810811,3700.0,4183.333333,-720.238095,-1419.047619,21.428571,0,0,0,0,12.6,5.266807,-0.65559,4183.333333,2785.714286,0,0,5,0.666667,0.857143,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6,3500,4000,3785.714286,146.385011,500,20.057143,10.1,29.8,0.2,69.714286,3.071429,262498.62,3814.285714,3400.0,4200.0,3861.111111,279.05263,2.316602,-241.666667,18.986032,0.623519,0.0,76.955556,4.049841,520794.42,1.071111,0.2,55.810526,2,0,1,0,0,-1.226415,3700.0,3700.0,-220.238096,499.999999,241.666667,0,0,0,0,19.7,6.271824,-0.270189,4183.333333,3700.0,0,1,7,0.4,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,3400,4200,3814.285714,177.281052,800,22.533333,17.9,28.9,0.0,73.0,4.733333,89369.51,3700.0,3400.0,3900.0,3728.571429,49.487166,0.754717,42.857143,19.582857,0.411548,0.2,76.304762,4.018095,677949.43,2.950476,-0.2,-9.897433,2,0,1,0,0,-1.123596,3785.714286,3700.0,284.52381,504.761906,42.857143,0,0,0,0,11.0,3.648688,1.732051,4183.333333,3700.0,0,1,7,0.0,0.714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,8,3400,3900,3700.0,173.205081,500,23.52,15.1,31.8,0.0,66.2,4.66,192386.72,3780.0,3500.0,4000.0,3766.666667,59.476171,-2.996255,57.142857,20.653968,1.663298,0.2,73.238095,4.18254,591205.24,2.866032,-0.2,-11.895234,2,0,1,0,1,0.0,3814.285714,3785.714286,14.285714,-270.238096,57.142857,0,0,0,0,16.7,3.40064,-1.120897,3814.285714,3700.0,1,1,3,-0.571429,0.571429,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,9,3500,4000,3780.0,164.316767,500,24.2,15.1,32.9,0.0,65.6,5.42,195077.44,4520.0,3500.0,5000.0,3766.666667,59.476171,2.162162,-42.857143,22.036825,1.784022,0.2,69.638095,4.154921,544254.85,2.163175,-0.2,-11.895234,3,0,1,0,1,1.587302,3700.0,3814.285714,-100.0,-114.285714,42.857143,0,0,0,0,17.8,4.11015,0.224179,3814.285714,3700.0,1,1,5,0.666667,0.714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,10,3500,5000,4520.0,535.723809,1500,23.8,17.8,33.5,0.2,71.4,5.16,153139.61,4560.0,4100.0,5000.0,3764.761905,58.646874,19.57672,-17.142857,23.417778,0.838022,0.0,68.266667,4.937778,476833.67,0.382222,0.2,11.729375,3,0,1,0,1,4.424779,3780.0,3700.0,25.714286,125.714286,17.142857,0,0,0,0,15.7,3.189566,3.0,4520.0,3700.0,1,0,5,0.0,0.714286,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,11,4100,5000,4560.0,250.998008,900,22.1,17.5,28.6,0.2,81.5,5.175,135494.36,4375.0,4200.0,4500.0,4000.0,452.106182,0.884956,410.0,23.84,0.34176,0.2,67.733333,5.08,540603.77,-1.74,0.0,0.0,3,0,1,0,0,-1.315789,4520.0,3780.0,427.142857,401.428571,410.0,0,0,0,0,11.1,8.046324,1.238647,4560.0,3700.0,1,0,5,0.0,0.642857,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,12,4200,4500,4375.0,50.0,300,23.05,19.4,28.2,0.1,80.0,5.05,59152.8,4350.0,4200.0,4500.0,4286.666667,439.241771,-4.057018,390.0,23.366667,1.115049,0.4,72.833333,5.251667,483711.41,-0.316667,-0.3,-131.772531,3,0,1,0,0,-0.685714,4560.0,4520.0,-20.0,-447.142857,390.0,0,0,0,0,8.8,5.450076,0.201104,4560.0,3700.0,1,0,4,-0.2,0.428571,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,13,4200,4500,4350.0,70.710678,300,25.557143,18.6,34.4,0.0,71.0,6.157143,294501.81,3928.571429,3500.0,4500.0,4485.0,97.339612,-0.571429,-72.5,22.983333,0.851959,0.5,77.633333,5.128333,347786.77,2.57381,-0.5,-48.669806,4,0,1,0,0,-2.298851,4375.0,4560.0,-462.5,-442.5,72.5,0,0,0,0,15.8,5.678908,-1.386897,4560.0,3780.0,1,0,2,-0.5,0.642857,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,14,3500,4500,3928.571429,386.066858,1000,28.314286,18.3,36.3,0.0,62.571429,5.185714,300803.54,3814.285714,3200.0,4300.0,4428.333333,114.709779,-9.688013,-105.0,23.569048,1.786062,0.3,77.5,5.460714,489148.97,4.745238,-0.3,-34.412934,4,0,1,0,0,-4.0,4350.0,4375.0,-32.5,430.0,105.0,1,0,0,0,18.0,8.715847,-3.0,4560.0,3928.571429,0,1,7,2.5,1.0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
