Year,Week,Current_Week_Min_Price,Current_Week_Max_Price,Current_Week_Mean_Price,Current_Week_Std_Price,Price_Range_Week,Forecast_Temp_Mean_Next_Week,Forecast_Temp_Min_Next_Week,Forecast_Temp_Max_Next_Week,Forecast_Rain_Sum_Next_Week,Forecast_Humidity_Mean_Next_Week,Forecast_Wind_Mean_Next_Week,Forecast_Sunshine_Sum_Next_Week,Target_Next_Week_Mean_Price,Target_Next_Week_Min_Price,Target_Next_Week_Max_Price,Rolling_3W_Mean,Rolling_3W_Std,Pct_Change_Last_Week,Price_Trend_Slope_3W,Past_3W_Temp_Mean,Past_3W_Temp_Std,Past_3W_Rain_Sum,Past_3W_Humidity_Mean,Past_3W_Wind_Mean,Past_3W_Sunshine_Sum,Temp_Anomaly,Rain_Anomaly,Volatility_Rain_Interaction,Next_Week_Month,Is_Monsoon_Next_Week,Is_Harvest_Season_Next_Week,Is_Festive_Week_Next_Week,Price_Direction,Pct_Change_Week,Lag_1W_Price,Lag_2W_Price,Price_Velocity,Price_Acceleration,Momentum_Strength,Heat_Stress_Days_Next_Week,Cold_Stress_Days_Next_Week,Heavy_Rain_Indicator_Next_Week,Drought_Indicator_Next_Week,Temp_Volatility_Next_Week,Humidity_Volatility_Next_Week,Price_Position_Ratio,Resistance_Level,Support_Level,Near_Resistance,Near_Support,Market_Activity,Activity_Change,Data_Quality_Flag,Variety_Deshi,Variety_Hybrid,Variety_Local,Variety_Other,Variety_Tomato,Market_Alipurduar,Market_Asansol,Market_Balarampur,Market_Balurghat,Market_Barasat,Market_Baxirhat,Market_Belacoba,Market_Birbhum,Market_Bolpur,Market_Burdwan,Market_Chakdah,Market_Champadanga,Market_Coochbehar,Market_Darjeeling,Market_Dhupguri,Market_Diamond Harbour(South 24-pgs),Market_Dinhata,Market_Durgapur,Market_Egra/contai,Market_Falakata,Market_Gangarampur(Dakshin_Dinajpur),Market_Garbeta(Medinipur),Market_Ghatal,Market_Habra,Market_Haldibari,Market_Jalpaiguri Sadar,Market_Kalimpong,Market_Kalipur,Market_Kalna,Market_Karsiyang(Matigara),Market_Khatra,Market_Medinipur(West),Market_Mekhliganj,Market_Memari,Market_Moynaguri,Market_Pandua,Market_Pundibari,Market_Purulia,Market_Ramkrishanpur(Howrah),Market_Ranaghat,Market_Sainthia,Market_Sealdah Koley Market,Market_Sheoraphuly,Market_Siliguri,Market_Toofanganj,Market_Uluberia,District_Alipurduar,District_Bankura,District_Birbhum,District_Coochbehar,District_Dakshin_Dinajpur,District_Darjeeling,District_Hooghly,District_Howrah,District_Jalpaiguri,District_Kalimpong,District_Kolkata,District_Medinipur(E),District_Medinipur(W),District_Nadia,District_North 24 Parganas,District_Paschim Bardhaman,District_Purba Bardhaman,District_Puruliya,District_South 24 Parganas
2025,27,3200,3800,3450.0,50.0,600,29.85,26.2,34.7,0.0,80.5,8.3,82916.86,3550.0,2800.0,4500.0,3475.0,0.0,0.0,0.0,29.85,0.0,0.0,81.625,7.4125,118006.175,0.0,0.0,0.0,7,1,0,0,1,0.724638,3500.0,3450.0,0.0,0.0,0.0,0,0,0,0,8.5,0.0,-3.0,3450.0,3450.0,1,1,3,0.0,0.357143,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2025,28,2800,4500,3550.0,919.238816,1700,29.85,27.1,33.3,0.0,85.0,4.75,70178.63,5300.0,4500.0,6000.0,3450.0,0.0,2.898551,0.0,29.85,0.0,0.0,80.5,8.3,82916.86,0.0,0.0,0.0,7,1,0,0,0,-36.619718,3450.0,3450.0,0.0,0.0,0.0,0,0,0,0,6.2,3.181981,3.0,3550.0,3450.0,1,1,2,-0.333333,0.285714,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,1,2000,2300,2116.666667,40.824829,300,16.166667,8.8,26.3,0.0,75.833333,3.633333,208945.65,2550.0,2100.0,3000.0,3218.061747,0.0,0.0,0.0,25.335008,0.0,23.189362,79.23827,4.566626,595194.241702,-9.168341,-23.189362,0.0,1,0,0,0,1,0.674916,3229.566869,3225.373299,0.0,0.0,0.0,0,1,0,0,17.5,0.0,-3.0,2116.666667,2116.666667,1,1,6,0.0,0.857143,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,2,2100,3000,2550.0,258.843582,900,15.216667,7.4,23.0,0.0,82.5,2.816667,185023.76,2066.666667,1500.0,2900.0,2116.666667,0.0,20.472441,0.0,16.166667,0.0,0.0,75.833333,3.633333,208945.65,-0.95,0.0,0.0,1,0,0,0,1,3.473389,2116.666667,3225.373299,0.0,0.0,0.0,0,1,0,0,15.6,4.714045,3.0,2550.0,2116.666667,1,0,6,0.0,0.857143,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,3,1500,2900,2066.666667,578.503817,1400,18.266667,12.0,26.3,0.0,71.666667,3.166667,105343.61,1833.333333,1500.0,2100.0,2333.333333,306.412939,-18.954248,0.0,15.691667,0.671751,0.0,79.166667,3.225,393969.41,2.575,0.0,0.0,1,0,0,0,0,-6.082949,2550.0,2116.666667,0.0,0.0,0.0,0,0,0,0,14.3,5.464532,-0.870285,2550.0,2066.666667,0,1,6,0.0,0.642857,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,4,1500,2100,1833.333333,208.1666,600,19.32,13.7,26.1,0.0,82.2,4.24,176113.7,1820.0,1600.0,2000.0,2244.444444,265.797194,-11.290323,-25.0,16.55,1.560716,0.0,76.666667,3.205556,499313.02,2.77,0.0,0.0,1,0,0,0,1,10.909091,2066.666667,2550.0,-25.0,-25.0,25.0,0,0,0,0,12.4,6.169849,-1.54671,2550.0,1833.333333,0,1,3,-0.5,0.571429,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,5,1600,2000,1820.0,109.544512,400,19.371429,13.4,26.0,0.0,77.0,4.742857,239337.11,1228.571429,1000.0,2000.0,2150.0,365.528537,-0.727273,-358.333333,17.601111,2.131093,0.0,78.788889,3.407778,466481.07,1.770317,0.0,0.0,2,0,1,0,1,3.296703,1833.333333,2066.666667,-333.333333,-308.333333,358.333333,0,0,0,0,12.6,5.266807,-0.902802,2550.0,1820.0,0,1,5,0.666667,0.857143,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,6,1000,2000,1228.571429,298.408477,1000,20.057143,10.1,29.8,0.2,69.714286,3.071429,262498.62,1164.285714,700.0,1800.0,1906.666667,138.724347,-32.496075,-123.333333,18.986032,0.623519,0.0,76.955556,4.049841,520794.42,1.071111,0.2,27.744869,2,0,1,0,0,-6.104651,1820.0,1833.333333,235.0,568.333333,123.333333,0,0,0,0,19.7,6.271824,-3.0,2550.0,1228.571429,0,1,7,0.4,1.0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,7,700,1800,1164.285714,339.992997,1100,22.533333,17.9,28.9,0.0,73.0,4.733333,89369.51,1133.333333,800.0,1500.0,1627.301587,345.374795,-5.232558,-302.380952,19.582857,0.411548,0.2,76.304762,4.018095,677949.43,2.950476,-0.2,-69.074959,2,0,1,0,1,9.815951,1228.571429,1820.0,-179.047619,-414.047619,302.380952,0,0,0,0,11.0,3.648688,-1.340619,2066.666667,1164.285714,0,1,7,0.0,0.714286,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2023,8,800,1500,1133.333333,251.661148,700,23.55,15.1,31.8,0.0,66.5,4.683333,230882.67,741.666667,600.0,900.0,1404.285714,361.451157,-2.658487,-327.857143,20.653968,1.663298,0.2,73.238095,4.18254,591205.24,2.896032,-0.2,-72.290231,2,0,1,0,0,-13.235294,1164.285714,1228.571429,-25.476191,153.571428,327.857143,0,0,0,0,16.7,3.250065,-0.749624,1833.333333,1133.333333,0,1,3,-0.571429,0.642857,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
